['240', '231', '65', '35', '447', '45', '125', '216', '15', '312', '334', '68', '105', '127']
['109', '482', '364', '0', '202', '49', '99', '136', '147', '165', '103', '257', '16', '73']
['25', '223', '433', '451', '198', '54', '53', '360', '27', '166', '107', '91', '338']
['407', '358', '241', '93', '357', '395', '274', '75', '150', '191', '60', '62', '144']
['19', '263', '158', '180', '74', '271', '81', '163', '376', '141', '9', '77', '117']
['438', '104', '135', '203', '129', '114', '115', '232', '50', '200', '51', '10', '64']
['286', '328', '121', '210', '131', '356', '419', '410', '6', '86', '69', '169', '106']
['1', '249', '453', '101', '29', '37', '408', '59', '416', '83', '449', '355', '5']
['145', '70', '118', '11', '206', '161', '387', '79', '2', '30', '186', '67', '250']
['84', '94', '119', '133', '154', '172', '196', '199', '245', '256', '266', '275', '277', '283', '287', '291', '311', '317', '335', '341', '342', '344', '347', '362', '399', '406', '421', '429', '431', '442', '462', '467', '476', '480', '488']
['4', '14', '26', '28', '39', '57', '71', '170', '185', '197', '211', '212', '220', '261', '262', '265', '273', '253', '254', '300', '305', '306', '313', '321', '332', '368', '394', '398', '379', '382', '440', '455', '465', '474', '494']
['3', '80', '108', '128', '132', '175', '183', '188', '194', '195', '224', '226', '228', '236', '280', '285', '302', '308', '330', '339', '346', '350', '352', '353', '359', '366', '384', '402', '404', '414', '434', '444', '466', '479', '495']
['8', '13', '17', '18', '111', '122', '124', '146', '156', '237', '239', '296', '304', '348', '369', '427', '468', '475', '477', '478', '481', '483', '484', '485', '486', '487', '489', '490', '491', '492', '493', '496', '497', '498', '499']
['21', '24', '34', '36', '58', '72', '201', '204', '208', '229', '260', '276', '293', '325', '349', '385', '386', '388', '389', '390', '391', '392', '393', '396', '397', '375', '377', '378', '380', '381', '383', '425', '428', '445', '470']
['95', '137', '152', '159', '164', '167', '168', '171', '174', '176', '182', '187', '207', '243', '267', '272', '252', '319', '322', '331', '340', '450', '452', '454', '456', '457', '458', '459', '460', '461', '463', '464', '469', '471', '472']
['76', '78', '82', '85', '87', '88', '89', '92', '96', '97', '98', '100', '123', '162', '225', '235', '246', '278', '279', '281', '282', '284', '288', '289', '290', '292', '294', '295', '297', '298', '299', '326', '430', '435', '436']
['31', '32', '33', '38', '41', '42', '43', '44', '46', '48', '301', '303', '307', '309', '310', '314', '316', '318', '323', '324', '400', '401', '403', '405', '409', '411', '412', '413', '415', '418', '420', '422', '423', '424', '473']
['12', '23', '40', '90', '102', '130', '143', '178', '179', '181', '190', '192', '193', '213', '221', '227', '234', '238', '242', '247', '248', '270', '251', '351', '354', '361', '363', '365', '367', '370', '371', '372', '373', '374', '446']
['7', '52', '55', '61', '63', '113', '138', '139', '140', '142', '148', '149', '126', '153', '155', '157', '160', '184', '189', '205', '214', '217', '218', '222', '230', '244', '258', '259', '264', '333', '337', '343', '345', '417', '448']
['233', '215', '255', '20', '439', '441', '268', '116', '151', '120', '56', '22', '110', '66', '432', '173', '269', '327', '336', '320', '134', '443', '209', '426', '219', '329', '315', '112', '177', '47', '437']
