['740', '329', '531']
['968', '735', '121']
['791', '734', '829']
['657', '54', '224']
['852', '437', '985']
['542', '462', '109']
['695', '386', '381']
['714', '31', '999']
['668', '863', '439']
['843', '293', '859']
['480', '320', '921']
['441', '497', '996']
['182', '253', '884']
['834', '789', '959']
['66', '713', '328']
['939', '626', '768']
['336', '628', '505']
['681', '706', '376']
['712', '825', '646']
['479', '785', '482']
['139', '666', '670']
['178', '491', '454']
['537', '147', '216']
['238', '860', '192']
['379', '993', '309']
['150', '349', '838']
['708', '201', '240']
['585', '389', '270']
['229', '899', '341']
['979', '699', '519']
['387', '307', '882']
['452', '761', '770']
['281', '187', '143']
['395', '898', '355']
['272', '112', '298']
['940', '450', '59']
['604', '504', '660']
['972', '593', '60']
['913', '79', '213']
['808', '123', '690']
['204', '93', '250']
['354', '282', '967']
['781', '634', '709']
['460', '590', '385']
['982', '799', '691']
['865', '470', '183']
['822', '652', '715']
['35', '210', '51']
['353', '561', '667']
['655', '609', '475']
['903', '725', '811']
['901', '280', '162']
['486', '496', '661']
['146', '388', '161']
['43', '790', '191']
['356', '380', '153']
['969', '613', '254']
['647', '453', '577']
['602', '784', '535']
['406', '908', '314']
['570', '828', '591']
['937', '317', '597']
['554', '186', '14']
['445', '988', '746']
['232', '935', '900']
['71', '606', '601']
['856', '382', '686']
['679', '316', '894']
['169', '644', '640']
['819', '311', '193']
['653', '318', '29']
['578', '425', '469']
['752', '325', '493']
['42', '892', '517']
['374', '772', '359']
['113', '800', '608']
['443', '633', '507']
['405', '923', '612']
['330', '4', '131']
['124', '645', '946']
['580', '334', '540']
['992', '756', '807']
['199', '46', '221']
['274', '949', '978']
['952', '508', '296']
['256', '239', '928']
['243', '294', '484']
['587', '141', '9']
['763', '973', '433']
['980', '277', '357']
['755', '476', '875']
['434', '510', '181']
['757', '990', '693']
['566', '117', '223']
['684', '603', '184']
['687', '664', '971']
['292', '189', '137']
['244', '27', '857']
['538', '501', '760']
['85', '796', '384']
['879', '883', '986']
['552', '730', '351']
['680', '241', '271']
['432', '689', '823']
['257', '308', '886']
['96', '160', '771']
['529', '32', '127']
['818', '945', '13']
['696', '319', '74']
['749', '217', '255']
['164', '451', '906']
['589', '423', '459']
['149', '934', '960']
['595', '371', '212']
['564', '963', '778']
['774', '547', '751']
['936', '263', '911']
['920', '669', '17']
['24', '108', '974']
['618', '82', '931']
['202', '366', '87']
['723', '867', '188']
['65', '560', '975']
['812', '742', '211']
['750', '896', '436']
['56', '396', '957']
['583', '786', '816']
['498', '286', '481']
['983', '692', '180']
['464', '523', '11']
['798', '100', '36']
['802', '574', '289']
['904', '984', '582']
['858', '641', '948']
['649', '116', '769']
['233', '671', '403']
['721', '524', '219']
['408', '700', '324']
['430', '514', '698']
['809', '702', '132']
['393', '91', '275']
['839', '120', '849']
['397', '642', '442']
['248', '231', '745']
['207', '543', '650']
['530', '251', '511']
['163', '848', '528']
['83', '297', '548']
['621', '166', '643']
['340', '343', '75']
['916', '332', '398']
['890', '394', '440']
['133', '885', '738']
['782', '728', '196']
['705', '758', '426']
['337', '648', '258']
['471', '344', '279']
['512', '616', '130']
['704', '424', '573']
['815', '513', '295']
['775', '917', '766']
['836', '625', '126']
['656', '895', '284']
['428', '847', '727']
['631', '61', '467']
['659', '718', '102']
['932', '639', '115']
['339', '536', '98']
['797', '45', '135']
['64', '719', '743']
['154', '278', '615']
['832', '63', '565']
['119', '350', '200']
['420', '871', '373']
['167', '762', '136']
['301', '215', '177']
['977', '461', '73']
['845', '198', '620']
['492', '717', '748']
['824', '414', '90']
['987', '527', '0']
['41', '572', '249']
['854', '592', '92']
['390', '909', '488']
['636', '500', '300']
['889', '145', '411']
['598', '81', '246']
['546', '363', '853']
['431', '206', '287']
['897', '995', '444']
['792', '321', '549']
['942', '912', '176']
['159', '225', '685']
['474', '924', '446']
['918', '503', '290']
['729', '402', '53']
['228', '638', '674']
['194', '930', '285']
['485', '881', '2']
['831', '516', '175']
['568', '205', '534']
['429', '303', '165']
['25', '364', '627']
['455', '544', '260']
['703', '327', '77']
['12', '242', '569']
['458', '830', '676']
['610', '158', '360']
['801', '15', '368']
['673', '955', '902']
['302', '30', '220']
['473', '88', '310']
['226', '262', '375']
['157', '675', '665']
['465', '494', '179']
['23', '888', '767']
['521', '731', '599']
['502', '855', '138']
['835', '833', '922']
['245', '80', '236']
['509', '600', '870']
['22', '99', '925']
['891', '361', '44']
['151', '346', '694']
['672', '994', '893']
['399', '427', '929']
['174', '795', '110']
['72', '624', '313']
['688', '114', '803']
['18', '352', '559']
['663', '976', '269']
['203', '483', '6']
['877', '571', '448']
['76', '716', '814']
['907', '532', '773']
['555', '315', '594']
['400', '208', '230']
['874', '447', '683']
['94', '489', '466']
['632', '872', '409']
['697', '8', '170']
['710', '156', '7']
['345', '197', '333']
['417', '677', '383']
['47', '104', '539']
['575', '926', '234']
