['343', '66', '281', '321', '375', '39', '142', '54', '41', '9', '22', '36', '57', '389', '47']
['58', '211', '72', '119', '250', '218', '332', '350', '279', '354', '358', '157', '383', '103', '282']
['214', '84', '387', '173', '260', '92', '393', '237', '152', '207', '326', '258', '209', '14', '64']
['0', '215', '202', '29', '298', '121', '1', '110', '201', '137', '93', '184', '6', '365', '318']
['186', '272', '132', '21', '52', '399', '348', '193', '188', '249', '232', '367', '167', '70', '185']
['20', '312', '266', '62', '394', '346', '122', '100', '334', '12', '336', '356', '242', '176']
['370', '342', '97', '68', '331', '112', '247', '349', '141', '314', '104', '287', '385', '113']
['196', '361', '198', '360', '86', '221', '297', '83', '294', '7', '2', '390', '99', '217']
['166', '227', '340', '239', '376', '204', '164', '363', '59', '153', '136', '288', '379', '151', '245', '102', '273', '125', '397', '120', '175', '50', '344', '56']
['76', '329', '140', '284', '180', '369', '302', '118', '124', '146', '283', '328', '308', '15', '4', '381', '187', '220', '368', '290', '159', '165', '268', '162']
['338', '67', '161', '355', '111', '396', '230', '395', '219', '128', '289', '210', '182', '317', '45', '382', '63', '277', '33', '226', '174', '238', '322', '265']
['131', '295', '88', '117', '261', '323', '243', '199', '172', '335', '192', '313', '135', '129', '257', '190', '73', '26', '96', '286', '337', '101', '233', '359']
['138', '89', '147', '85', '139', '116', '149', '38', '106', '254', '293', '181', '168', '115', '274', '205', '51', '134', '333', '40', '65', '357', '194', '330']
['108', '225', '78', '24', '351', '183', '197', '311', '74', '384', '377', '32', '206', '155', '37', '269', '246', '235', '169', '28', '48', '275', '392', '303']
['391', '325', '144', '388', '364', '10', '30', '270', '158', '300', '98', '263', '305', '231', '339', '262', '171', '130', '43', '94', '123', '107', '60', '345']
['27', '191', '278', '285', '319', '23', '362', '17', '163', '95', '154', '271', '143', '11', '353', '81', '170', '324', '280', '327', '216', '25', '304', '61']
['177', '13', '160', '90', '236', '373', '127', '301', '87', '316', '309', '398', '71', '5', '372', '79', '253', '229', '320', '18', '352', '46', '251', '44']
['16', '222', '380', '109', '126', '241', '213', '306', '148', '91', '234', '228', '42', '315', '378', '31', '267', '53', '291', '296', '3', '347', '145', '212']
['49', '105', '256', '310', '55', '189', '195', '244', '203', '69', '299', '179', '255', '80', '178', '156', '34', '371', '114', '19', '292', '386', '264', '224']
['259', '35', '366', '240', '341', '252', '307', '82', '133', '248', '208', '276', '374', '150', '77', '8', '200', '75', '223']
