['54', '105', '180', '153', '243', '65', '201', '97', '59', '193']
['214', '3', '150', '49', '151', '209', '94', '191', '224']
['211', '74', '181', '217', '166', '133', '131', '234', '147']
['26', '53', '128', '1', '28', '227', '215', '29', '114']
['121', '48', '101', '113', '165', '5', '72', '32', '156']
['86', '195', '9', '198', '0', '229', '57', '158', '118']
['200', '210', '240', '231', '66', '206', '102', '76', '176']
['84', '168', '125', '12', '14', '194', '119', '241', '68']
['160', '100', '13', '104', '93', '116', '41', '222', '108']
['42', '88', '24', '139', '122', '19', '182', '213', '208']
['171', '169', '20', '232', '145', '112', '130', '149', '91']
['179', '7', '18', '23', '85', '44', '35', '71', '43']
['64', '204', '220', '238', '33', '6', '155', '247', '197']
['8', '67', '34', '103', '225', '115', '239', '30', '144']
['61', '4', '236', '233', '223', '249', '95', '146', '134', '199', '47', '187', '58', '99', '161', '167', '127', '140', '248', '109', '196', '129', '52', '186', '82', '183', '148', '152', '75', '111', '157', '173', '110', '221', '163', '175', '124', '174', '123', '39', '36', '162', '83', '106', '230', '2', '56', '69', '50', '81', '38', '17', '184', '235', '172', '242', '25', '244', '96', '188', '77', '79', '92', '55', '21', '37', '46', '192', '205', '135', '207', '159', '246', '228', '98', '15', '117', '10', '11', '45', '203', '185', '164', '137', '141', '51', '60', '62', '16', '245', '212', '22', '142', '177', '138', '78', '40', '27', '154', '226', '143', '90', '31', '237', '126', '170', '63', '189', '87', '219', '120', '73', '202', '190', '218', '70', '132', '80', '107', '136', '178', '89', '216']
