['l6', 'd9', 'n6', 'k5', 'v10', 'v1', 't10', 'h10', 'g5', 'x3']
['y3', 'n3', 'v8', 'a2', 'b2', 'd1', 'q2', 'm6', 'o8', 'i3']
['x10', 's4', 'y6', 'h5', 'y7', 'a3', 'w1', 'u2', 's2', 'b8']
['p7', 'w4', 'v7', 'c6', 'i6', 'r2', 'r7', 'd7', 'h8', 'u1']
['q1', 'q4', 'c10', 'o7', 'o3', 'a8', 'c2', 'f7', 'f9', 's9']
['d8', 'l7', 'l4', 'l5', 'l3', 'l9', 'd2', 'l10', 'r9', 'n9']
['q5', 'e10', 'e8', 'x4', 't1', 'e9', 'e4', 'e7', 'e6', 'e3']
['q9', 'w5', 'w3', 'w8', 'a6', 'r1', 'a4', 'o10', 'a9', 'x6']
['g6', 'j8', 'h2', 'u9', 'u8', 'u5', 'u4', 'u6', 'm1', 'j3']
['t3', 'n10', 'h7', 'c8', 'c1', 'c7', 'i8', 'i7', 'v2', 'v6']
['b4', 'b7', 'b3', 'r8', 'b9', 'p8', 'b6', 'b1', 'b5', 'b10']
['p3', 't2', 'a5', 'n7', 'm4', 'm9', 'f2', 's8', 'k4', 'n1']
['d4', 'p10', 'j4', 'j7', 'j1', 'w10', 'y4', 'r5', 'p1', 'p4']
['y9', 'y1', 'y2', 'y5', 'r10', 'l2', 'l8', 'y10', 'h6', 'f3']
['q6', 'o9', 'm5', 'm7', 'c3', 's3', 's5', 'v3', 'v9', 'n8']
['g2', 'o4', 'o1', 'h9', 'p9', 'f1', 'd10', 'i4', 'i10', 'g10']
['y8', 'g7', 's10', 'h4', 'x2', 'x5', 's1', 's7', 's6', 'n5']
['c5', 'g8', 'l1', 'o5', 'k10', 'k2', 'k1', 'k7', 'k6', 'k9']
['j10', 't9', 'w2', 'w9', 'o2', 'r3', 'h1', 'm8', 'f8', 'n2']
['g4', 'g9', 't6', 'w6', 'f10', 'x7', 'f4', 'f5', 'g3', 'g1']
['q7', 't8', 't7', 't4', 't5', 'q8', 'x1', 'm2', 'a10', 'a1']
['c4', 'j2', 'd5', 'e5', 'u7', 'u3', 'c9', 'f6', 'i1', 'd6']
['q3', 'j6', 'q10', 'e2', 'r6', 'x8', 'p2', 'p5', 'x9', 'n4']
['o6', 'a7', 'h3', 'm3', 'u10', 'k3', 'i2', 'i5', 'v4', 'v5']
['i9', 'm10', 'e1', 'j5', 'j9', 'k8', 'd3', 'r4', 'w7', 'p6']
