['19', '15', '0', '14', '9', '3', '7', '1', '8', '4']
['12', '11', '16', '17', '10', '6', '2', '18', '5', '13']
['35', '55', '75', '95', '115', '135', '155', '175', '195', '215', '235', '255', '275', '295', '312', '315', '335', '355', '375', '395']
['27', '47', '67', '87', '107', '127', '147', '167', '187', '207', '227', '247', '267', '287', '307', '327', '347', '367', '387', '396']
['28', '48', '68', '88', '108', '128', '148', '168', '188', '208', '228', '248', '268', '288', '308', '328', '348', '368', '369', '388']
['22', '42', '62', '82', '102', '122', '142', '162', '182', '202', '222', '242', '262', '282', '302', '322', '342', '356', '362', '382']
['37', '57', '77', '97', '117', '137', '157', '177', '197', '217', '237', '257', '277', '297', '317', '337', '353', '357', '377', '397']
['23', '43', '63', '83', '103', '123', '143', '163', '183', '203', '223', '243', '263', '283', '303', '323', '343', '352', '363', '383']
['30', '50', '70', '90', '110', '130', '150', '170', '190', '210', '230', '250', '270', '290', '310', '320', '330', '350', '370', '390']
['21', '41', '61', '81', '101', '121', '141', '161', '181', '201', '221', '241', '261', '281', '301', '321', '341', '361', '364', '381']
['25', '45', '65', '85', '105', '125', '145', '165', '185', '205', '225', '245', '265', '285', '305', '325', '345', '365', '378', '385']
['31', '51', '71', '91', '111', '131', '151', '171', '191', '211', '231', '251', '271', '279', '291', '311', '331', '351', '371', '391']
['39', '59', '79', '99', '119', '139', '159', '179', '199', '204', '219', '239', '259', '299', '304', '319', '339', '359', '379', '399']
['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '296', '300', '316', '340', '360', '380']
['26', '46', '66', '86', '106', '126', '146', '166', '169', '186', '206', '226', '246', '266', '286', '306', '326', '346', '349', '366']
['33', '53', '73', '93', '113', '133', '153', '173', '193', '212', '213', '233', '253', '273', '293', '313', '333', '372', '373', '393']
['38', '44', '58', '78', '98', '118', '138', '158', '178', '198', '218', '238', '258', '278', '298', '318', '338', '344', '358', '398']
['34', '54', '74', '94', '114', '134', '154', '174', '194', '214', '234', '254', '274', '294', '314', '334', '354', '374', '389', '394']
['29', '49', '69', '89', '109', '112', '129', '132', '149', '152', '189', '192', '209', '229', '249', '269', '289', '292', '309', '329']
['36', '56', '76', '96', '104', '116', '124', '136', '156', '164', '176', '196', '216', '236', '244', '256', '264', '276', '336', '376']
['386', '384', '64', '84', '252', '52', '392', '324', '272', '224', '184', '144', '284', '24', '332', '92', '232', '72', '32', '172']
