['178', '33', '0']
['134', '436', '345']
['8', '224', '248']
['328', '438', '243']
['343', '405', '365']
['144', '425', '363']
['402', '325', '315']
['273', '294', '374']
['21', '153', '232']
['218', '94', '497']
['101', '185', '177']
['57', '56', '125']
['222', '82', '272']
['251', '227', '455']
['215', '108', '189']
['362', '458', '424']
['84', '85', '149']
['77', '479', '111']
['366', '326', '92']
['375', '459', '124']
['154', '298', '360']
['142', '65', '453']
['470', '466', '26']
['321', '353', '412']
['268', '253', '88']
['286', '74', '67']
['5', '70', '63']
['48', '18', '433']
['304', '199', '1']
['380', '14', '168']
['194', '392', '475']
['212', '254', '476']
['174', '247', '246']
['201', '172', '495']
['419', '342', '310']
['390', '105', '291']
['113', '115', '103']
['393', '429', '127']
['76', '196', '95']
['230', '350', '416']
['100', '131', '352']
['482', '234', '237']
['423', '408', '181']
['480', '373']
['152', '391']
['110', '307']
['377', '359']
['349', '223']
['348', '490', '414', '220', '53', '17', '89']
['46', '270', '245', '180', '163', '354', '159']
['179', '407', '16', '210', '456', '73', '454']
['141', '183', '36', '471', '202', '75', '249']
['51', '175', '395', '447', '126', '133', '64']
['263', '143', '122', '41', '426', '297', '376']
['214', '432', '404', '44', '60', '372', '464']
['40', '79', '23', '112', '147', '356', '80']
['477', '128', '382', '13', '431', '397', '24']
['166', '409', '228', '284', '4', '444', '481']
['164', '209', '241', '235', '71', '333', '197']
['324', '385', '491', '346', '451', '129', '378']
['457', '452', '119', '145', '114', '191', '161']
['388', '316', '332', '323', '449', '106', '156']
['295', '6', '9', '367', '38', '446', '445']
['258', '308', '467', '104', '413', '319', '387']
['401', '371', '99', '381', '293', '331', '415']
['443', '448', '136', '244', '167', '267', '422']
['86', '90', '399', '322', '15', '485', '276']
['39', '109', '81', '135', '158', '205', '435']
['207', '25', '138', '160', '204', '417', '317']
['427', '398', '146', '55', '72', '287', '195']
['406', '309', '121', '239', '357', '171', '339']
['271', '238', '280', '45', '275', '347', '96']
['52', '256', '420', '499', '47', '266', '338']
['368', '182', '400', '62', '340', '318', '157']
['403', '262', '290', '434', '20', '200', '32']
['27', '289', '440', '61', '320', '165', '3']
['261', '468', '50', '260', '137', '252', '184']
['140', '43', '281', '11', '150', '305', '487']
['341', '107', '430', '93', '203', '49', '486']
['494', '12', '288', '396', '217', '242', '162']
['206', '225', '460', '473', '450', '102', '335']
['54', '492', '68', '78', '66', '58', '384']
['213', '472', '29', '120', '173', '132', '130']
['19', '155', '282', '255', '439', '250', '192']
['312', '117', '269', '221', '488', '355', '428']
['344', '292', '211', '229', '216', '283', '34']
['361', '278', '226', '461', '337', '301', '483']
['334', '478', '2', '187', '233', '329', '69']
['410', '274', '379', '437', '277', '285', '411']
['364', '300', '489', '311', '386', '59', '330']
['303', '264', '498', '188', '421', '10', '383']
['442', '496', '30', '186', '151', '257', '87']
['123', '462', '190', '170', '389', '116', '327']
['394', '35', '358', '465', '484', '314', '240']
['474', '193', '299', '148', '28', '42', '91']
['441', '236', '265', '97', '493', '370', '31']
['198', '139', '208', '98', '302', '469', '369']
['279', '306', '169', '463', '418', '22', '313']
['7', '231', '118', '351', '259', '83']
['37', '296', '176', '336', '219']
