['348', '186', '178', '370', '376', '70', '288', '9', '23', '240', '315', '456', '449', '267', '371', '314', '79', '138', '3', '468', '1', '27', '190', '359', '467', '313', '161', '46', '86', '368', '82', '153', '346', '95', '357', '256', '378', '48', '47']
['13', '18', '25', '29', '37', '57', '74', '101', '117', '121', '124', '126', '127', '142', '165', '167', '176', '187', '196', '203', '251', '252', '270', '296', '308', '322', '325', '327', '331', '349', '352', '358', '386', '395', '403', '418', '433', '477', '493']
['34', '36', '45', '62', '90', '106', '115', '129', '130', '134', '149', '191', '199', '206', '242', '254', '258', '263', '264', '266', '306', '319', '328', '339', '372', '389', '399', '408', '409', '412', '420', '422', '428', '441', '448', '463', '472', '484', '497']
['16', '24', '43', '53', '85', '99', '111', '118', '120', '144', '158', '169', '228', '236', '255', '265', '271', '284', '291', '298', '318', '320', '329', '338', '341', '374', '388', '390', '393', '397', '407', '419', '425', '427', '434', '447', '459', '465', '466']
['0', '8', '15', '35', '87', '103', '109', '135', '147', '152', '164', '185', '200', '202', '208', '214', '245', '261', '268', '290', '303', '312', '324', '334', '335', '337', '340', '344', '351', '369', '379', '383', '384', '398', '401', '405', '471', '492', '495']
['7', '11', '12', '20', '60', '73', '114', '119', '122', '143', '151', '156', '172', '188', '219', '220', '222', '226', '231', '241', '247', '248', '275', '276', '283', '286', '305', '354', '373', '436', '438', '442', '452', '458', '475', '486', '487', '488', '491']
['4', '26', '33', '50', '54', '59', '61', '72', '78', '88', '94', '137', '157', '180', '181', '205', '212', '235', '238', '260', '262', '285', '316', '364', '366', '391', '400', '406', '413', '414', '431', '437', '439', '445', '470', '476', '480', '483', '489']
['5', '30', '40', '42', '67', '69', '92', '98', '112', '125', '146', '150', '159', '166', '195', '207', '209', '229', '244', '250', '278', '287', '293', '297', '301', '342', '345', '350', '367', '385', '387', '410', '411', '415', '421', '423', '432', '481', '494']
['51', '58', '63', '66', '68', '75', '80', '97', '100', '105', '131', '141', '148', '175', '179', '197', '215', '221', '227', '232', '239', '279', '289', '292', '295', '299', '300', '302', '304', '317', '355', '361', '363', '382', '394', '402', '435', '453', '482']
['6', '10', '14', '19', '21', '38', '64', '65', '71', '77', '89', '93', '102', '108', '128', '133', '155', '160', '163', '173', '183', '189', '194', '204', '218', '234', '237', '246', '281', '310', '333', '360', '380', '381', '426', '430', '446', '457', '498']
['39', '44', '52', '76', '83', '84', '110', '116', '174', '177', '182', '193', '198', '211', '216', '224', '233', '253', '272', '274', '282', '309', '321', '323', '330', '336', '343', '347', '375', '392', '440', '444', '451', '455', '469', '473', '474', '478', '479']
['32', '41', '55', '81', '140', '154', '162', '201', '249', '259', '280', '353', '417', '429', '443', '454', '460', '461', '485', '496', '499', '464', '450', '424', '396', '362', '332', '311', '307', '294', '269', '243']
['365', '277', '132', '377', '257', '168', '104', '139', '273', '490', '326', '404', '91', '356', '416', '136', '96', '145', '107', '210', '462', '2', '17', '22', '28', '31', '49', '56', '113', '123', '170', '171', '184', '192', '213', '217', '223', '225', '230']
