['46', '40', '6', '36']
['15', '42', '5', '23']
['16', '34', '22']
['20', '18', '1']
['38', '14', '49']
['41', '11', '44']
['3', '4', '24']
['10', '31', '12']
['2', '50', '82', '85', '88', '93', '114', '115', '150', '162', '163', '173', '200', '202', '219', '226', '237', '246', '264', '282', '289', '297', '312', '326', '330', '338', '353', '367', '371', '375', '377', '385', '389', '410', '416', '418', '433', '450', '460', '497']
['32', '45', '66', '79', '99', '112', '119', '125', '130', '133', '134', '135', '147', '154', '166', '176', '190', '199', '223', '229', '240', '242', '273', '274', '292', '298', '311', '313', '350', '360', '361', '381', '398', '411', '414', '420', '447', '455', '470', '494']
['21', '70', '71', '77', '102', '105', '117', '129', '143', '151', '174', '182', '183', '185', '191', '195', '197', '208', '216', '224', '231', '238', '245', '249', '251', '266', '287', '293', '332', '343', '354', '358', '379', '428', '436', '438', '454', '464', '474', '493']
['9', '29', '35', '39', '51', '53', '76', '87', '97', '100', '103', '109', '120', '122', '155', '158', '167', '188', '207', '217', '244', '247', '262', '281', '315', '317', '318', '324', '340', '369', '402', '412', '413', '431', '445', '449', '459', '468', '469', '495']
['0', '25', '26', '30', '33', '43', '54', '56', '59', '61', '63', '92', '95', '107', '111', '113', '131', '164', '172', '184', '193', '205', '227', '236', '259', '275', '278', '295', '302', '366', '378', '382', '401', '429', '437', '439', '448', '467', '473', '480']
['47', '60', '106', '123', '127', '132', '140', '141', '144', '180', '196', '206', '213', '230', '255', '294', '299', '307', '320', '327', '341', '342', '355', '357', '368', '390', '404', '409', '419', '423', '424', '427', '441', '444', '458', '471', '478', '481', '492', '499']
['28', '72', '73', '90', '98', '110', '118', '146', '148', '171', '189', '194', '239', '248', '252', '253', '260', '265', '270', '283', '314', '319', '325', '345', '346', '348', '349', '352', '376', '383', '392', '399', '400', '405', '406', '425', '451', '475', '483', '487']
['13', '17', '52', '67', '69', '78', '80', '89', '101', '142', '170', '175', '181', '221', '243', '250', '254', '257', '269', '284', '288', '304', '305', '310', '329', '331', '336', '362', '363', '370', '384', '388', '391', '393', '421', '453', '456', '457', '472', '488']
['8', '27', '37', '57', '68', '74', '81', '96', '124', '128', '139', '160', '165', '177', '186', '204', '209', '214', '220', '225', '234', '277', '286', '296', '309', '347', '374', '395', '396', '403', '422', '430', '443', '452', '461', '465', '466', '476', '489', '498']
['91', '94', '136', '138', '149', '153', '156', '157', '169', '178', '187', '192', '198', '210', '212', '215', '222', '233', '241', '258', '263', '267', '271', '272', '279', '301', '303', '308', '321', '333', '335', '337', '356', '364', '372', '432', '434', '490', '491', '496']
['65', '83', '86', '104', '108', '116', '126', '152', '159', '168', '203', '218', '232', '235', '276', '280', '285', '290', '291', '322', '323', '328', '359', '373', '380', '387', '394', '397', '415', '426', '440', '442', '446', '462', '463', '477', '479', '482', '484', '485']
['55', '161', '417', '179', '48', '365', '19', '408', '64', '486', '256', '334', '137', '407', '58', '121', '300', '75', '62', '7', '306', '145', '84', '386', '339', '435', '344', '201', '268', '261', '351', '211', '228', '316']
