['478', '336', '91', '265', '136', '314', '238']
['675', '634', '313', '344', '66', '639', '693']
['511', '470', '207', '199', '208', '660', '387']
['352', '75', '335', '393', '530', '582', '62']
['388', '372', '450', '466', '667', '163', '83']
['467', '686', '308', '474', '440', '592', '69']
['618', '249', '438', '456', '96', '67', '268']
['209', '154', '201', '496', '510', '277', '425']
['86', '449', '424', '581', '484', '423', '472']
['149', '28', '614', '568', '310', '540', '608']
['3', '499', '214', '464', '525', '281', '60']
['194', '698', '229', '280', '612', '626', '134']
['121', '526', '455', '527', '516', '537', '25']
['680', '532', '128', '31', '377', '343', '180']
['353', '460', '649', '379', '42', '267', '88']
['253', '463', '407', '593', '74', '341', '220']
['157', '398', '232', '650', '329', '602', '328']
['339', '445', '158', '427', '538', '286', '334']
['521', '290', '272', '283', '506', '408', '82']
['205', '513', '414', '696', '221', '598', '595']
['654', '246', '381', '327', '476', '120', '323']
['241', '193', '487', '541', '664', '215', '350']
['528', '210', '631', '697', '404', '386', '366']
['173', '389', '218', '515', '298', '197', '684']
['570', '131', '615', '239', '57', '375', '482']
['266', '444', '178', '52', '168', '171', '59']
['301', '79', '507', '433', '37', '84', '89']
['647', '100', '285', '695', '358', '690', '459']
['522', '137', '589', '15', '642', '679', '99']
['597', '392', '681', '294', '64', '118', '278']
['488', '202', '534', '583', '235', '190', '619']
['426', '295', '230', '138', '356', '429', '250']
['55', '665', '236', '382', '401', '415', '124']
['110', '643', '529', '179', '545', '553', '380']
['300', '338', '186', '123', '70', '422', '624']
['531', '150', '345', '346', '63', '14', '43']
['35', '106', '321', '611', '627', '76', '228']
['620', '635', '217', '361', '548', '672', '365']
['364', '6', '638', '648', '555', '309', '71']
['586', '671', '451', '603', '172', '483', '293']
['116', '550', '457', '212', '410', '248', '645']
['692', '56', '20', '159', '68', '237', '374']
['544', '523', '682', '563', '165', '177', '370']
['691', '161', '655', '117', '363', '357', '94']
['551', '24', '337', '322', '39', '33', '274']
['216', '599', '185', '81', '495', '588', '402']
['420', '87', '412', '61', '85', '689', '21']
['431', '633', '501', '23', '462', '264', '594']
['148', '126', '284', '685', '492', '543', '263']
['558', '441', '304', '243', '613', '549', '430']
['622', '240', '45', '320', '176', '261', '596']
['340', '11', '461', '485', '442', '275', '385']
['417', '629', '561', '191', '333', '262', '578']
['419', '44', '279', '453', '560', '448', '524']
['502', '435', '92', '48', '162', '434', '125']
['18', '80', '103', '27', '144', '519', '312']
['53', '533', '666', '108', '305', '573', '181']
['674', '418', '287', '547', '394', '170', '663']
['378', '508', '601', '164', '112', '223', '245']
['143', '640', '562', '107', '4', '493', '421']
['129', '644', '437', '259', '604', '289', '610']
['142', '311', '359', '299', '591', '296', '661']
['348', '630', '351', '566', '46', '580', '316']
['324', '119', '183', '156', '636', '676', '203']
['16', '481', '242', '271', '72', '22', '255']
['678', '395', '585', '477', '257', '668', '270']
['559', '479', '146', '233', '222', '656', '174']
['504', '355', '600', '400', '196', '318', '577']
['325', '590', '1', '518', '428', '505', '546']
['132', '319', '446', '303', '473', '98', '694']
['347', '160', '391', '651', '291', '617', '439']
['258', '155', '468', '349', '73', '54', '282']
['231', '576', '432', '166', '90', '114', '13']
['539', '184', '465', '141', '416', '254', '572']
['234', '78', '145', '494', '2', '536', '646']
['195', '376', '354', '276', '662', '535', '489']
['95', '12', '498', '51', '139', '512', '653']
['659', '182', '367', '500', '362', '140', '135']
['409', '556', '77', '187', '102', '607', '36']
['623', '122', '269', '587', '458', '390', '307']
['188', '169', '49', '632', '447', '673', '292']
['306', '575', '38', '97', '552', '621', '213']
['151', '244', '670', '260', '641', '315', '369']
['225', '113', '384', '371', '520', '687', '373']
['406', '565', '669', '542', '58', '109', '360']
['616', '297', '65', '50', '219', '497', '491']
['101', '557', '452', '475', '605', '657', '0']
['480', '383', '192', '405', '658', '226', '34']
['688', '503', '9', '224', '509', '411', '609']
['247', '127', '175', '41', '7', '454', '413']
['256', '206', '399', '111', '204', '26', '189']
['227', '93', '8', '637', '29', '514', '517']
['443', '252', '198', '652', '47', '115', '332']
['273', '19', '625', '326', '397', '152', '30']
['368', '469', '584', '330', '302', '317', '436']
['699', '396', '147', '331', '130', '32', '606']
['104', '105', '490', '564', '486', '403', '251']
['153', '471', '579', '574', '10', '288', '133']
['40', '569', '342', '683', '677', '571', '567']
['17', '5', '211', '628', '554', '200', '167']
